ts,btc_price,eth_price
2023-10-25 00:00:00.000 UTC,33902.465000000004,1784.9866666666665
2023-10-25 01:00:00.000 UTC,34183.11083333336,1798.5283333333327
2023-10-25 02:00:00.000 UTC,34092.92583333333,1794.6958333333334
2023-10-25 03:00:00.000 UTC,34000.09666666666,1790.8808333333343
2023-10-25 04:00:00.000 UTC,34023.99083333333,1789.9383333333337
2023-10-25 05:00:00.000 UTC,34052.736666666664,1788.7783333333334
2023-10-25 06:00:00.000 UTC,34085.76666666665,1787.6674999999998
2023-10-25 07:00:00.000 UTC,33984.659166666665,1780.1691666666661
2023-10-25 08:00:00.000 UTC,33885.36083333333,1770.6408333333334
2023-10-25 09:00:00.000 UTC,34070.33083333333,1778.2858333333336
2023-10-25 10:00:00.000 UTC,34126.12999999999,1779.715
2023-10-25 11:00:00.000 UTC,34229.373333333344,1784.7233333333324
2023-10-25 12:00:00.000 UTC,34293.51833333333,1788.0541666666666
2023-10-25 13:00:00.000 UTC,34403.36083333332,1788.9349999999997
2023-10-25 14:00:00.000 UTC,34476.065833333334,1796.0350000000008
2023-10-25 15:00:00.000 UTC,34747.996666666666,1804.535
2023-10-25 16:00:00.000 UTC,34763.255833333336,1800.7041666666657
2023-10-25 17:00:00.000 UTC,34574.057499999995,1788.9574999999993
2023-10-25 18:00:00.000 UTC,34588.50749999999,1788.9624999999999
2023-10-25 19:00:00.000 UTC,34617.274999999994,1788.8883333333326
2023-10-25 20:00:00.000 UTC,34756.6025,1791.4225
2023-10-25 21:00:00.000 UTC,34673.50416666668,1788.1916666666668
2023-10-25 22:00:00.000 UTC,34611.375833333324,1792.4374999999993
2023-10-25 23:00:00.000 UTC,34509.77250000001,1787.8416666666667
2023-10-26 00:00:00.000 UTC,34533.52333333335,1789.8466666666673
2023-10-26 01:00:00.000 UTC,34679.575833333336,1792.5591666666667
2023-10-26 02:00:00.000 UTC,34703.21083333333,1792.9283333333335
2023-10-26 03:00:00.000 UTC,34772.546666666676,1801.9591666666665
2023-10-26 04:00:00.000 UTC,34723.35750000002,1809.96
2023-10-26 05:00:00.000 UTC,34639.34333333334,1804.7874999999995
2023-10-26 06:00:00.000 UTC,34509.52333333334,1797.9875000000002
2023-10-26 07:00:00.000 UTC,34681.017499999994,1830.1458333333346
2023-10-26 08:00:00.000 UTC,34609.08833333334,1846.1883333333328
2023-10-26 09:00:00.000 UTC,34495.86666666669,1843.2399999999989
2023-10-26 10:00:00.000 UTC,34379.05250000001,1836.8808333333332
2023-10-26 11:00:00.000 UTC,34206.441666666666,1825.4708333333333
2023-10-26 12:00:00.000 UTC,34205.800833333335,1817.7574999999995
2023-10-26 13:00:00.000 UTC,34276.90999999999,1818.955833333333
2023-10-26 14:00:00.000 UTC,34166.24999999998,1800.3983333333335
2023-10-26 15:00:00.000 UTC,34030.60583333332,1779.7266666666665
2023-10-26 16:00:00.000 UTC,33968.50249999998,1773.9666666666665
2023-10-26 17:00:00.000 UTC,33872.41083333334,1775.6649999999997
2023-10-26 18:00:00.000 UTC,33999.29666666666,1785.8583333333336
2023-10-26 19:00:00.000 UTC,33979.29999999999,1788.2358333333339
2023-10-26 20:00:00.000 UTC,34119.810000000005,1796.771666666666
2023-10-26 21:00:00.000 UTC,34154.8875,1798.803333333334
2023-10-26 22:00:00.000 UTC,34186.141666666656,1804.758333333333
2023-10-26 23:00:00.000 UTC,34208.851666666655,1806.1708333333338
2023-10-27 00:00:00.000 UTC,34093.52666666669,1800.0416666666665
2023-10-27 01:00:00.000 UTC,33967.0925,1790.9033333333343
2023-10-27 02:00:00.000 UTC,34006.03916666669,1787.690833333333
2023-10-27 03:00:00.000 UTC,34103.549999999974,1790.3849999999998
2023-10-27 04:00:00.000 UTC,34089.95666666667,1789.6208333333332
2023-10-27 05:00:00.000 UTC,34058.97833333334,1792.3291666666667
2023-10-27 06:00:00.000 UTC,34114.25083333334,1793.9975000000004
2023-10-27 07:00:00.000 UTC,34122.88166666668,1790.4983333333332
2023-10-27 08:00:00.000 UTC,34012.042499999996,1782.3474999999992
2023-10-27 09:00:00.000 UTC,34114.042499999996,1788.9791666666656
2023-10-27 10:00:00.000 UTC,34113.326666666646,1787.354166666668
2023-10-27 11:00:00.000 UTC,34040.350833333345,1782.0075000000013
2023-10-27 12:00:00.000 UTC,34042.298333333354,1784.9816666666663
2023-10-27 13:00:00.000 UTC,34140.71083333332,1793.6691666666661
2023-10-27 14:00:00.000 UTC,33989.325,1782.8516666666665
2023-10-27 15:00:00.000 UTC,33946.83000000001,1779.6633333333339
2023-10-27 16:00:00.000 UTC,33969.129166666666,1780.7308333333342
2023-10-27 17:00:00.000 UTC,33723.70833333333,1765.7866666666666
2023-10-27 18:00:00.000 UTC,33587.99833333333,1762.2825000000003
2023-10-27 19:00:00.000 UTC,33661.792499999974,1770.6891666666666
2023-10-27 20:00:00.000 UTC,33768.347499999996,1778.1175
2023-10-27 21:00:00.000 UTC,33848.03166666666,1781.476666666666
2023-10-27 22:00:00.000 UTC,33849.22250000001,1780.4741666666662
2023-10-27 23:00:00.000 UTC,33869.03000000002,1780.943333333333
2023-10-28 00:00:00.000 UTC,33913.26500000001,1781.8408333333334
2023-10-28 01:00:00.000 UTC,33899.758333333324,1781.5966666666661
2023-10-28 02:00:00.000 UTC,33935.9975,1784.2108333333322
2023-10-28 03:00:00.000 UTC,34064.58583333332,1789.700833333333
2023-10-28 04:00:00.000 UTC,34063.25999999998,1789.9533333333331
2023-10-28 05:00:00.000 UTC,34119.057499999995,1791.5758333333329
2023-10-28 06:00:00.000 UTC,34102.77333333333,1789.2199999999998
2023-10-28 07:00:00.000 UTC,34081.6575,1788.721666666667
2023-10-28 08:00:00.000 UTC,34086.52666666666,1789.9966666666664
2023-10-28 09:00:00.000 UTC,34103.14666666667,1790.5674999999994
2023-10-28 10:00:00.000 UTC,34114.01166666666,1791.5133333333335
2023-10-28 11:00:00.000 UTC,34190.96499999999,1793.5849999999998
2023-10-28 12:00:00.000 UTC,34150.86833333332,1787.5700000000004
2023-10-28 13:00:00.000 UTC,34058.44666666666,1784.4233333333339
2023-10-28 14:00:00.000 UTC,34096.714166666665,1788.485
2023-10-28 15:00:00.000 UTC,34121.57333333335,1789.6075000000005
2023-10-28 16:00:00.000 UTC,34160.185,1789.2741666666664
2023-10-28 17:00:00.000 UTC,34131.496666666666,1787.8899999999994
2023-10-28 18:00:00.000 UTC,34118.07083333333,1785.6683333333335
2023-10-28 19:00:00.000 UTC,34144.91000000002,1784.7549999999999
2023-10-28 20:00:00.000 UTC,34124.86999999999,1781.7750000000005
2023-10-28 21:00:00.000 UTC,34156.96416666667,1782.9491666666684
2023-10-28 22:00:00.000 UTC,34149.48166666665,1782.1899999999998
2023-10-28 23:00:00.000 UTC,34107.05083333335,1778.3175000000006
2023-10-29 00:00:00.000 UTC,34092.46416666666,1780.160833333334
2023-10-29 01:00:00.000 UTC,34046.43666666667,1776.2883333333339
2023-10-29 02:00:00.000 UTC,34047.058333333334,1777.1208333333334
2023-10-29 03:00:00.000 UTC,34029.554166666654,1777.5658333333329
2023-10-29 04:00:00.000 UTC,34022.495,1778.2433333333336
2023-10-29 05:00:00.000 UTC,34039.35250000001,1778.7991666666665
2023-10-29 06:00:00.000 UTC,34071.158333333326,1780.0466666666673
2023-10-29 07:00:00.000 UTC,34081.56583333333,1782.0566666666678
2023-10-29 08:00:00.000 UTC,34123.903333333335,1786.3433333333332
2023-10-29 09:00:00.000 UTC,34209.552500000005,1790.4108333333338
2023-10-29 10:00:00.000 UTC,34176.353333333325,1787.578333333334
2023-10-29 11:00:00.000 UTC,34210.74916666667,1789.4174999999993
2023-10-29 12:00:00.000 UTC,34273.905000000006,1791.0649999999998
2023-10-29 13:00:00.000 UTC,34369.07249999999,1796.4075
2023-10-29 14:00:00.000 UTC,34378.93666666667,1795.5208333333335
2023-10-29 15:00:00.000 UTC,34461.64833333333,1795.8291666666662
2023-10-29 16:00:00.000 UTC,34414.33999999998,1792.4825000000008
2023-10-29 17:00:00.000 UTC,34458.71333333331,1795.4933333333336
2023-10-29 18:00:00.000 UTC,34608.99250000001,1799.1258333333328
2023-10-29 19:00:00.000 UTC,34543.02916666668,1794.345833333333
2023-10-29 20:00:00.000 UTC,34546.69750000001,1795.8683333333345
2023-10-29 21:00:00.000 UTC,34561.61166666667,1799.4075
2023-10-29 22:00:00.000 UTC,34560.69000000002,1800.2716666666674
2023-10-29 23:00:00.000 UTC,34580.257500000014,1801.6683333333335
2023-10-30 00:00:00.000 UTC,34508.79416666669,1795.6658333333332
2023-10-30 01:00:00.000 UTC,34474.59666666666,1796.6316666666671
2023-10-30 02:00:00.000 UTC,34322.128333333334,1789.9299999999998
2023-10-30 03:00:00.000 UTC,34294.909166666665,1785.3116666666658
2023-10-30 04:00:00.000 UTC,34295.933333333334,1786.6883333333326
2023-10-30 05:00:00.000 UTC,34298.105833333335,1786.6058333333326
2023-10-30 06:00:00.000 UTC,34285.98999999998,1785.4516666666657
2023-10-30 07:00:00.000 UTC,34284.947499999995,1788.830833333333
2023-10-30 08:00:00.000 UTC,34272.58250000001,1797.2233333333336
2023-10-30 09:00:00.000 UTC,34515.48249999999,1821.8291666666662
2023-10-30 10:00:00.000 UTC,34500.89166666666,1815.6041666666679
2023-10-30 11:00:00.000 UTC,34546.21000000001,1815.125
2023-10-30 12:00:00.000 UTC,34642.25250000001,1816.8441666666665
2023-10-30 13:00:00.000 UTC,34610.097499999996,1814.2008333333329
2023-10-30 14:00:00.000 UTC,34654.59583333334,1820.854166666667
2023-10-30 15:00:00.000 UTC,34623.89333333334,1819.3716666666671
2023-10-30 16:00:00.000 UTC,34519.711666666655,1816.0333333333328
2023-10-30 17:00:00.000 UTC,34292.8575,1801.0141666666664
2023-10-30 18:00:00.000 UTC,34309.69583333336,1799.7983333333334
2023-10-30 19:00:00.000 UTC,34365.60583333333,1801.7258333333343
2023-10-30 20:00:00.000 UTC,34393.89833333333,1801.6991666666675
2023-10-30 21:00:00.000 UTC,34458.537500000006,1806.2158333333327
2023-10-30 22:00:00.000 UTC,34487.83583333333,1811.3691666666666
2023-10-30 23:00:00.000 UTC,34482.1525,1811.2083333333333
2023-10-31 00:00:00.000 UTC,34504.251666666656,1812.8833333333323
2023-10-31 01:00:00.000 UTC,34471.700000000026,1811.2458333333343
2023-10-31 02:00:00.000 UTC,34416.530000000006,1809.3483333333331
2023-10-31 03:00:00.000 UTC,34321.52583333333,1802.0683333333332
2023-10-31 04:00:00.000 UTC,34256.00166666666,1799.5075000000004
2023-10-31 05:00:00.000 UTC,34270.68499999998,1802.3841666666663
2023-10-31 06:00:00.000 UTC,34302.48666666666,1802.3333333333337
2023-10-31 07:00:00.000 UTC,34223.028333333335,1796.0583333333334
2023-10-31 08:00:00.000 UTC,34237.00833333331,1795.209166666667
2023-10-31 09:00:00.000 UTC,34363.34166666665,1801.6850000000004
2023-10-31 10:00:00.000 UTC,34404.33666666667,1803.2466666666664
2023-10-31 11:00:00.000 UTC,34440.33166666668,1805.3658333333335
2023-10-31 12:00:00.000 UTC,34432.83083333333,1808.6391666666668
2023-10-31 13:00:00.000 UTC,34307.013333333336,1800.773333333333
2023-10-31 14:00:00.000 UTC,34265.978333333354,1796.1941666666667
2023-10-31 15:00:00.000 UTC,34270.325000000004,1793.8158333333324
2023-10-31 16:00:00.000 UTC,34323.06,1796.660833333333
2023-10-31 17:00:00.000 UTC,34377.24749999999,1802.120833333334
2023-10-31 18:00:00.000 UTC,34374.39,1803.5750000000003
2023-10-31 19:00:00.000 UTC,34465.429999999986,1809.8116666666667
2023-10-31 20:00:00.000 UTC,34550.56749999999,1812.7258333333336
2023-10-31 21:00:00.000 UTC,34550.779166666674,1810.9316666666666
2023-10-31 22:00:00.000 UTC,34511.49583333331,1809.6016666666662
2023-10-31 23:00:00.000 UTC,34575.2025,1812.3758333333337
